model,system,overall,p1,p2,p3,p4,p3_source,p4_source,repair_status,edits,wv_workspace
grok420_reasoning_xai,curp,0.8333333333333333,1.0,1.0,0.6666666666666666,0.8571428571428571,original,original,none,0,wv-workspaces/20260419_084659_curp
grok420_reasoning_xai,dqueue,0.9999999999999999,1.0,1.0,1.0,1.0,original,original,none,0,wv-workspaces/20260419_084701_dqueue
grok420_reasoning_xai,etcd,0.30499999999999994,1.0,0.1,0.4,0.0,original,original,none,0,wv-workspaces/20260419_084657_etcdraft
grok420_reasoning_xai,locksvc,0.6166666666666667,1.0,0.0,1.0,0.3333333333333333,repaired,repaired (2/6),minor,1,wv-workspaces/20260422_221559_locksvc
grok420_reasoning_xai,mutex,0.95,1.0,1.0,1.0,0.8571428571428571,original,original,none,0,wv-workspaces/20260419_084703_mutex
grok420_reasoning_xai,raftkvs,0.42499999999999993,0.5,,0.3333333333333333,0.6666666666666666,repaired,repaired (10/15),minor,1,wv-workspaces/20260422_230510_raftkvs
grok420_reasoning_xai,redisraft,0.5729166666666666,1.0,0.0,0.3333333333333333,0.875,repaired,repaired (14/16),minor,1,wv-workspaces/20260422_230513_redisraft
grok420_reasoning_xai,ringbuffer,0.6499999999999999,1.0,1.0,0.0,1.0,original,original,none,0,wv-workspaces/20260419_084705_ringbuffer
grok420_reasoning_xai,rwmutex,0.9649999999999999,1.0,1.0,1.0,0.9,original,original,none,0,wv-workspaces/20260419_084707_rwmutex
grok420_reasoning_xai,spin,0.825,1.0,1.0,0.5,1.0,original,original,none,0,wv-workspaces/20260419_084655_spin
grok420_reasoning_xai,zookeeper,0.6499999999999999,1.0,1.0,1.0,0.0,original,original,none,0,wv-workspaces/20260419_084709_zookeeper
kimi_k25_ds,curp,0.5916666666666667,1.0,1.0,0.8333333333333334,0.0,original,original,none,0,wv-workspaces/20260418_062934_curp
kimi_k25_ds,dqueue,0.5,1.0,0.0,1.0,0.0,repaired,repaired (0/1),minor,2,wv-workspaces/20260422_232721_dqueue
kimi_k25_ds,etcd,0.543076923076923,1.0,0.0,0.2,0.9230769230769231,repaired,repaired (12/13),none,0,wv-workspaces/20260423_115109_etcd
kimi_k25_ds,locksvc,0.7452316666666666,1.0,0.8571,1.0,0.3333333333333333,original,original,none,0,wv-workspaces/20260417_163123_locksvc
kimi_k25_ds,mutex,0.95,1.0,1.0,1.0,0.8571428571428571,original,original,none,0,wv-workspaces/20260417_163117_mutex
kimi_k25_ds,raftkvs,0.57,1.0,0.0,0.2,1.0,repaired,repaired (15/15),minor,3,wv-workspaces/20260422_234105_raftkvs
kimi_k25_ds,redisraft,0.30757166666666663,1.0,0.2727,0.3333333333333333,0.0,original,original,none,0,wv-workspaces/20260418_132845_kimi_redisraft
kimi_k25_ds,ringbuffer,0.6499999999999999,1.0,1.0,0.0,1.0,original,original,none,0,wv-workspaces/20260418_121903_kimi_ringbuffer
kimi_k25_ds,rwmutex,0.6499999999999999,1.0,1.0,1.0,0.0,original,original,none,0,wv-workspaces/20260417_163119_rwmutex
kimi_k25_ds,spin,0.5,1.0,1.0,0.0,0.5714285714285714,original,original,none,0,wv-workspaces/20260417_163115_spin
kimi_k25_ds,zookeeper,0.8196969696969697,1.0,1.0,0.6666666666666666,0.8181818181818182,original,original,none,0,wv-workspaces/20260418_121903_kimi_zookeeper
minimax_m27_ds,curp,0.44166666666666665,1.0,0.0,0.8333333333333334,0.0,repaired,repaired (0/7),minor,2,wv-workspaces/20260422_234944_curp
minimax_m27_ds,dqueue,0.15,1.0,0.0,0.0,0.0,repaired,repaired (0/1),minor,1,wv-workspaces/20260423_003510_dqueue
minimax_m27_ds,etcd,0.21499999999999997,0.5,,0.4,0.0,repaired,repaired (0/13),minor,3,wv-workspaces/20260423_003510_etcd
minimax_m27_ds,locksvc,0.36666666666666664,0.5,,0.5,0.3333333333333333,repaired,repaired (2/6),moderate,6,wv-workspaces/20260423_043844_locksvc
minimax_m27_ds,mutex,0.30416666666666664,1.0,0.25,0.3333333333333333,0.0,original,original,none,0,wv-workspaces/20260422_021049_mutex
minimax_m27_ds,raftkvs,0.247,0.48,,0.5,0.0,repaired,repaired (0/15),moderate,7,wv-workspaces/20260423_003510_raftkvs
minimax_m27_ds,redisraft,0.30448717948717946,0.47435897435897434,,0.6666666666666666,0.0,repaired,repaired (0/16),moderate,9,wv-workspaces/20260423_003511_redisraft
minimax_m27_ds,ringbuffer,0.825,1.0,1.0,0.5,1.0,original,original,none,0,wv-workspaces/20260422_011015_ringbuffer
minimax_m27_ds,rwmutex,0.49583333333333324,1.0,0.75,0.6666666666666666,0.0,original,original,none,0,wv-workspaces/20260422_021052_rwmutex
minimax_m27_ds,spin,0.725,1.0,1.0,0.5,0.7142857142857143,original,original,none,0,wv-workspaces/20260422_011012_spin
minimax_m27_ds,zookeeper,0.22499999999999998,1.0,0.5,0.0,0.0,repaired,repaired (0/11),minor,2,wv-workspaces/20260423_043844_zookeeper
qwen36_plus_ds,curp,0.6916716666666668,1.0,0.6667000000000001,0.8333333333333334,0.42857142857142855,repaired,repaired (3/7),minor,1,wv-workspaces/20260423_044219_curp
qwen36_plus_ds,dqueue,0.15,1.0,0.0,0.0,0.0,repaired,repaired (0/1),moderate,4,wv-workspaces/20260423_052328_dqueue
qwen36_plus_ds,etcd,0.33249999999999996,1.0,0.75,0.2,0.0,original,original,none,0,wv-workspaces/20260422_021037_etcd
qwen36_plus_ds,locksvc,0.5958333333333333,1.0,0.25,1.0,0.16666666666666666,repaired,repaired (1/6),minor,2,wv-workspaces/20260423_052907_locksvc
qwen36_plus_ds,mutex,0.95,1.0,1.0,1.0,0.8571428571428571,original,original,none,0,wv-workspaces/20260422_021040_mutex
qwen36_plus_ds,raftkvs,0.71,1.0,0.0,0.6,1.0,repaired,repaired (15/15),minor,2,wv-workspaces/20260423_093159_raftkvs
qwen36_plus_ds,redisraft,0.6047054597701149,0.4827586206896552,,0.8333333333333334,0.6875,repaired,repaired (11/16),moderate,8,wv-workspaces/20260423_093159_redisraft
qwen36_plus_ds,ringbuffer,0.9999999999999999,1.0,1.0,1.0,1.0,original,original,none,0,wv-workspaces/20260422_021043_ringbuffer
qwen36_plus_ds,rwmutex,0.8483333333333334,1.0,1.0,0.6666666666666666,0.9,original,original,none,0,wv-workspaces/20260422_011006_rwmutex
qwen36_plus_ds,spin,0.9999999999999999,1.0,1.0,1.0,1.0,original,original,none,0,wv-workspaces/20260422_021046_spin
qwen36_plus_ds,zookeeper,0.5333333333333333,1.0,1.0,0.6666666666666666,0.0,original,original,none,0,wv-workspaces/20260422_050500_zookeeper
